"airportIATACode";"airportName";"airportICAOCode"
"BBN";"Bario";"WBGZ"
"BBO";"Berbera";"HCMI"
"BBP";"Bembridge";"EGHJ"
"BBQ";"Barbuda";"TAPH"
"BBR";"Baillif";"TFFB"
"BBS";"Blackbushe";"EGLK"
"BBT";"Berberati";"FEFT"
"BBU";"Baneasa";"LRBS"
"BBV";"Hkg";"DIGN"
"BBW";"Broken Bow";"KBBW"
"BBX";"Wings Field";"KLOM"
"BBY";"Bambari";"FEFM"
"BBZ";"Zambezi";"FLZB"
"BCA";"Baracoa";"MUBA"
"BCB";"Virginia Tech";"KBCB"
"BCC";"Bear Creek";""
"BCD";"Bacolod";"RPVB"
"BCE";"Bryce";"KBCE"
"BCF";"Bouca";"FEGU"
"BCG";"Bemichi";""
"BCH";"Cakung International";"WPEC"
"BCI";"Barcaldine";"YBAR"
"BCK";"Bolwarra";""
"BCL";"Barra Colorado";"MRBC"
"BCM";"BACAU";"LRBC"
"BCN";"EL PRAT";"LEBL"
"BCO";"Jinka";"HABC"
"BCP";"Bambu";""
"BCQ";"Brack";""
"BCR";"Boca Do Acre";"SWNK"
"BCS";"Southern Seaplane";""
"BCT";"Public";"KBCT"
"BCU";"Bauchi";"DNBC"
"BCV";"Belmopan";""
"BCW";"Benguera Island";""
"BCX";"Beloreck";"UWUB"
"BCZ";"Bickerton Island";""
"BDA";"BERMUDA";"TXKF"
"BDB";"Bundaberg";"YBUD"
"BDC";"Barra Do Corda";"SNBC"
"BDD";"Badu Island";"YBAU"
"BDE";"Baudette";"KBDE"
"BDF";"Rinkenberger";""
"BDG";"Blanding";"KBDG"
"BDH";"Bandar Lengeh";"OIBL"
"BDI";"Bird Island";"FSSB"
"BDJ";"Sjamsudin Noor";"WRBB"
"BDK";"Bondoukou";"DIBU"
"BDL";"BRADLEY INTERNATIONAL";"KBDL"
"BDM";"Bandirma";"LTBG"
"BDN";"Talhar";"OPTH"
"BDO";"Husein Sastranegara";"WIIB"
